transactions,date,day_of_week,customer_name,age_group,gender,occupation,city,township,platform,device_type,transaction_type,amount_mmk,fee_mmk,net_amount_mmk,status
TXN-LUAB-04142802,27-Apr-24,Saturday,Myat Khaing,25-34,Male,Private Sector Employee,Yangon,Mingaladon,KBZPay,Android,P2P Transfer,414000,0,414000,Completed
TXN-RHKS-67895145,14-Nov-24,Thursday,Daw Zaw,25-34,Female,Student,Yangon,Thingangyun,AYAPay,Android,P2P Transfer,191500,0,191500,Completed
TXN-NDAT-96648404,12-May-24,Sunday,Yee Oo,25-34,Female,Government Employee,Yangon,Dagon,AYAPay,Android,Bill Payment,44000,0,44000,Completed
TXN-EYPQ-59962480,7-Jan-24,Sunday,Nan Zaw,25-34,Female,Healthcare Worker,Yangon,Hlaing,AYAPay,Android,Mobile Top-up,2000,0,2000,Completed
TXN-PXSE-70471669,12-Aug-24,Monday,Aung Thu,25-34,Male,Private Sector Employee,Yangon,Thingangyun,Wave Money,Android,P2P Transfer,316000,0,316000,Completed
TXN-NMZS-58601950,25-Sep-24,Wednesday,Pyae Moe,25-34,Male,Business Owner,Yangon,Hlaing,KBZPay,Android,Merchant Payment,86500,0,86500,Completed
TXN-SNLU-42872994,8-Apr-24,Monday,Ko Wai,25-34,Male,Freelancer,Yangon,Dagon,CB Pay,Android,P2P Transfer,392000,0,392000,Completed
TXN-IRSM-58573170,13-Feb-24,Tuesday,Ei San,25-34,Male,Government Employee,Yangon,Bahan,KBZPay,Android,Mobile Top-up,5000,0,5000,Completed
TXN-TGPV-64970633,5-Feb-24,Monday,Kyaw Nyi,25-34,Female,Student,Yangon,Mayangon,CB Pay,Android,Merchant Payment,11500,0,11500,Completed
TXN-UCZR-97062330,15-Mar-24,Friday,Wai Zaw,25-34,Female,Student,Yangon,Sanchaung,AYAPay,Android,P2P Transfer,118000,0,118000,Completed
TXN-NRVP-56022776,24-Nov-24,Sunday,Nan Nge,25-34,Male,Trader / Merchant,Yangon,Thingangyun,Wave Money,Android,P2P Transfer,44500,0,44500,Completed
TXN-HTDO-03720896,18-Jun-24,Tuesday,Khin Nyi,25-34,Female,Private Sector Employee,Yangon,Sanchaung,AYAPay,Android,P2P Transfer,204500,0,204500,Completed
TXN-MIQY-65228897,12-Dec-24,Thursday,Myat Aung,25-34,Male,Trader / Merchant,Yangon,Mayangon,OK Dollar,Android,Bill Payment,119500,0,119500,Completed
