transaction_id,timestamp,date,month,hour,day_of_week,customer_name,age_group,gender,occupation,phone_number,city,township,platform,device_type,transaction_type,amount_mmk,fee_mmk,net_amount_mmk,status,description
TXN-QCBF-01586647,10/22/2024 20:10,10/22/2024,2024-10,20,Tuesday,Daw Thu,18-24,Male,Government Employee,9961960013,Naypyitaw,Zabuthiri,AYAPay,Android,P2P Transfer,206000,0,206000,Completed,Payment for goods
TXN-XZXJ-09109268,8/29/2024 9:54,8/29/2024,2024-08,9,Thursday,Pyae Oo,18-24,Female,Government Employee,9451559407,Naypyitaw,Pobbathiri,OK Dollar,Android,Bill Payment,91000,0,91000,Completed,Pay Government Fee
TXN-HRGE-53999924,10/26/2024 22:59,10/26/2024,2024-10,22,Saturday,Thida Thu,25-34,Female,Government Employee,9443419283,Yangon,Kamayut,KBZPay,Android,P2P Transfer,34500,0,34500,Pending,Transfer to Mg Wai
TXN-DCIV-66009083,10/2/2024 20:39,10/2/2024,2024-10,20,Wednesday,Thura Maung,55+,Female,Private Sector Employee,9766724238,Yangon,Kamayut,AYAPay,Android,Bill Payment,166000,0,166000,Completed,Pay Internet (Fiber)
TXN-NSEQ-42327263,11/29/2024 2:37,11/29/2024,2024-11,2,Friday,Phyo Khaing,25-34,Male,Private Sector Employee,9738480184,Yangon,Bahan,KBZPay,Feature Phone,Merchant Payment,16500,0,16500,Completed,Purchase at TMH Hospital
TXN-DDWH-15687951,12/22/2024 10:08,12/22/2024,2024-12,10,Sunday,Nan Zin,18-24,Female,Business Owner,9950957015,Yangon,Mingaladon,CB Pay,Android,Cash In,1000000,0,1000000,Completed,Bank transfer in
TXN-DZPP-20426250,1/25/2024 13:04,1/25/2024,2024-01,13,Thursday,Pyae Thant,45-54,Male,Private Sector Employee,9963465787,Naypyitaw,Ottarathiri,Wave Money,Android,P2P Transfer,48500,0,48500,Completed,Transfer to Nge Nyi
TXN-FAAN-27349993,10/19/2024 11:12,10/19/2024,2024-10,11,Saturday,Ko Zaw,18-24,Male,Farmer,9979737631,Mandalay,Maha Aungmye,KBZPay,Android,P2P Transfer,451500,0,451500,Completed,Personal transfer
TXN-OAMD-37903914,12/4/2024 12:27,12/4/2024,2024-12,12,Wednesday,Myat Hlaing,25-34,Male,Factory Worker,9738108013,Mandalay,Chanayethazan,KBZPay,Android,P2P Transfer,58500,0,58500,Completed,Personal transfer
TXN-DZCF-15520183,5/27/2024 9:04,5/27/2024,2024-05,9,Monday,Min Zin,25-34,Female,Business Owner,9960500978,Naypyitaw,Dekkhina,KBZPay,Android,Cash In,167000,0,167000,Completed,Cash deposit at agent
TXN-FCJU-51092852,1/27/2024 12:08,1/27/2024,2024-01,12,Saturday,Nan Win,35-44,Male,Trader / Merchant,9955435346,Mandalay,Patheingyi,AYAPay,Android,P2P Transfer,381000,0,381000,Completed,Payment for goods
TXN-EMTQ-83660182,6/27/2024 7:32,6/27/2024,2024-06,7,Thursday,Nyein Moe,25-34,Male,Freelancer,9339808412,Sittwe,Sittwe Township,CB Pay,Feature Phone,P2P Transfer,183000,0,183000,Completed,Rent payment
TXN-EVOC-72649253,2/16/2024 20:55,2/16/2024,2024-02,20,Friday,Thet Thu,18-24,Male,Government Employee,9322786801,Yangon,Mayangon,CB Pay,iOS,P2P Transfer,216500,0,216500,Failed,Money sent to family
TXN-BBRG-19771288,11/14/2024 8:10,11/14/2024,2024-11,8,Thursday,Ko Moe,35-44,Male,Business Owner,9499232260,Taunggyi,Taunggyi Township,OK Dollar,iOS,P2P Transfer,186000,0,186000,Completed,Transfer to Myat Mon
TXN-LHZJ-87395558,8/5/2024 20:20,8/5/2024,2024-08,20,Monday,Khin Tun,45-54,Female,Private Sector Employee,9266541458,Yangon,Insein,OK Dollar,Android,Bill Payment,47500,0,47500,Completed,Pay Internet (Fiber)
TXN-FLBX-47760515,5/26/2024 10:12,5/26/2024,2024-05,10,Sunday,Zaw Myint,45-54,Male,Government Employee,9490883561,Mandalay,Patheingyi,OK Dollar,Android,Cash Out,76500,1000,75500,Completed,ATM withdrawal
TXN-BCBW-39887996,10/25/2024 18:19,10/25/2024,2024-10,18,Friday,Nan Lin,25-34,Female,Government Employee,9333699577,Myitkyina,Myitkyina Township,Wave Money,Android,Bill Payment,41500,0,41500,Completed,Pay School Fees
TXN-MBZE-17637345,6/18/2024 21:07,6/18/2024,2024-06,21,Tuesday,Min Htun,18-24,Female,Trader / Merchant,987693676,Yangon,Thingangyun,AYAPay,Feature Phone,P2P Transfer,91500,0,91500,Completed,Money sent to family
TXN-DQYI-70902754,9/17/2024 13:20,9/17/2024,2024-09,13,Tuesday,Ko Thant,55+,Female,Farmer,9739868727,Mandalay,Amarapura,AYAPay,Android,Bill Payment,27000,0,27000,Completed,Pay Government Fee
TXN-VEYR-93213481,10/2/2024 0:26,10/2/2024,2024-10,0,Wednesday,Min Oo,18-24,Female,Student,986658760,Taunggyi,Taunggyi Township,KBZPay,Android,P2P Transfer,87000,0,87000,Failed,Rent payment
TXN-VLCB-99003108,8/22/2024 15:11,8/22/2024,2024-08,15,Thursday,Wai Lay,35-44,Female,Factory Worker,9763467065,Myitkyina,Waingmaw,AYAPay,Android,Mobile Top-up,7500,0,7500,Completed,Ooredoo top-up 5000 MMK
TXN-ILGN-51576252,2/25/2024 18:07,2/25/2024,2024-02,18,Sunday,Aye Zin,25-34,Male,Freelancer,9326417080,Yangon,Mayangon,KBZPay,Feature Phone,Salary Credit,727000,0,727000,Completed,Monthly salary
TXN-SDIT-07693938,10/21/2024 17:50,10/21/2024,2024-10,17,Monday,Phyu Wai,25-34,Male,Trader / Merchant,992419049,Mandalay,Chanayethazan,OK Dollar,Feature Phone,Mobile Top-up,6000,0,6000,Completed,Mytel top-up 1000 MMK
